
Camera index: 2
Total frame number: 67854.0
Processing frame: 0
Elapsed time: 1.5735626220703125e-05s
Processing frame: 2000
Elapsed time: 103.46796894073486s
Processing frame: 4000
Elapsed time: 200.80638146400452s
Processing frame: 6000
Elapsed time: 300.8269259929657s
Processing frame: 8000
Elapsed time: 402.9815180301666s
Processing frame: 10000
Elapsed time: 503.72969222068787s
Processing frame: 12000
Elapsed time: 605.4604873657227s
Processing frame: 14000
Elapsed time: 705.826162815094s
Processing frame: 16000
Elapsed time: 803.1866393089294s
Processing frame: 18000
Elapsed time: 901.2434537410736s
Processing frame: 20000
Elapsed time: 993.2832572460175s
Processing frame: 22000
Elapsed time: 1087.2187004089355s
Processing frame: 24000
Elapsed time: 1180.8279407024384s
Processing frame: 26000
Elapsed time: 1284.4571599960327s
Processing frame: 28000
Elapsed time: 1381.0112462043762s
Processing frame: 30000
Elapsed time: 1480.449419260025s
Processing frame: 32000
Elapsed time: 1578.4050376415253s
Processing frame: 34000
Elapsed time: 1679.3522701263428s
Processing frame: 36000
Elapsed time: 1782.254889011383s
Processing frame: 38000
Elapsed time: 1887.5599706172943s
Processing frame: 40000
Elapsed time: 1989.7104380130768s
Processing frame: 42000
Elapsed time: 2088.919291973114s
Processing frame: 44000
Elapsed time: 2188.8324675559998s
Processing frame: 46000
Elapsed time: 2287.538813352585s
Processing frame: 48000
Elapsed time: 2391.7627878189087s
Processing frame: 50000
Elapsed time: 2494.7108755111694s
Processing frame: 52000
Elapsed time: 2593.4344611167908s
Processing frame: 54000
Elapsed time: 2696.9382784366608s
Processing frame: 56000
Elapsed time: 2795.567330598831s
Processing frame: 58000
Elapsed time: 2899.0583901405334s
Processing frame: 60000
Elapsed time: 3001.2937211990356s
Processing frame: 62000
Elapsed time: 3105.8195638656616s
Processing frame: 64000
Elapsed time: 3208.5277733802795s
Processing frame: 66000
Elapsed time: 3311.7929286956787s
