
Camera index: 2
Total frame number: 93432.0
Processing frame: 0
Elapsed time: 1.2159347534179688e-05s
Processing frame: 2000
Elapsed time: 35.98324489593506s
Processing frame: 4000
Elapsed time: 71.94996643066406s
Processing frame: 6000
Elapsed time: 107.30656147003174s
Processing frame: 8000
Elapsed time: 143.17707443237305s
Processing frame: 10000
Elapsed time: 178.55240869522095s
Processing frame: 12000
Elapsed time: 214.19331121444702s
Processing frame: 14000
Elapsed time: 250.14006662368774s
Processing frame: 16000
Elapsed time: 285.489458322525s
Processing frame: 18000
Elapsed time: 320.6973440647125s
Processing frame: 20000
Elapsed time: 355.91429471969604s
Processing frame: 22000
Elapsed time: 390.80526399612427s
Processing frame: 24000
Elapsed time: 426.0040669441223s
Processing frame: 26000
Elapsed time: 460.7398636341095s
Processing frame: 28000
Elapsed time: 495.83463048934937s
Processing frame: 30000
Elapsed time: 530.5893969535828s
Processing frame: 32000
Elapsed time: 565.2051112651825s
Processing frame: 34000
Elapsed time: 600.3102889060974s
Processing frame: 36000
Elapsed time: 635.3429613113403s
Processing frame: 38000
Elapsed time: 670.4251744747162s
Processing frame: 40000
Elapsed time: 705.42271900177s
Processing frame: 42000
Elapsed time: 740.696072101593s
Processing frame: 44000
Elapsed time: 776.0057682991028s
Processing frame: 46000
Elapsed time: 810.8785820007324s
Processing frame: 48000
Elapsed time: 846.6708047389984s
Processing frame: 50000
Elapsed time: 881.5500829219818s
Processing frame: 52000
Elapsed time: 916.4041726589203s
Processing frame: 54000
Elapsed time: 951.2099208831787s
Processing frame: 56000
Elapsed time: 986.127509355545s
Processing frame: 58000
Elapsed time: 1020.8672490119934s
Processing frame: 60000
Elapsed time: 1055.544872045517s
Processing frame: 62000
Elapsed time: 1089.8425676822662s
Processing frame: 64000
Elapsed time: 1124.6995556354523s
Processing frame: 66000
Elapsed time: 1159.0934178829193s
Processing frame: 68000
Elapsed time: 1193.6200377941132s
Processing frame: 70000
Elapsed time: 1228.351371049881s
Processing frame: 72000
Elapsed time: 1263.3434715270996s
Processing frame: 74000
Elapsed time: 1298.3999423980713s
Processing frame: 76000
Elapsed time: 1333.3743109703064s
Processing frame: 78000
Elapsed time: 1368.1635282039642s
Processing frame: 80000
Elapsed time: 1403.247638463974s
Processing frame: 82000
Elapsed time: 1437.9381618499756s
Processing frame: 84000
Elapsed time: 1472.8695976734161s
Processing frame: 86000
Elapsed time: 1507.7104642391205s
Processing frame: 88000
Elapsed time: 1542.5290133953094s
Processing frame: 90000
Elapsed time: 1577.7044467926025s
Processing frame: 92000
Elapsed time: 1612.9720857143402s
