
Camera index: 1
Total frame number: 88566.0
Processing frame: 0
Elapsed time: 1.8358230590820312e-05s
Processing frame: 2000
Elapsed time: 100.13030791282654s
Processing frame: 4000
Elapsed time: 196.56884622573853s
Processing frame: 6000
Elapsed time: 295.4194757938385s
Processing frame: 8000
Elapsed time: 401.4364264011383s
Processing frame: 10000
Elapsed time: 505.0349495410919s
Processing frame: 12000
Elapsed time: 611.4467039108276s
Processing frame: 14000
Elapsed time: 716.1367511749268s
Processing frame: 16000
Elapsed time: 815.8533592224121s
Processing frame: 18000
Elapsed time: 921.2772169113159s
Processing frame: 20000
Elapsed time: 1019.5601785182953s
Processing frame: 22000
Elapsed time: 1122.4964838027954s
Processing frame: 24000
Elapsed time: 1221.7308826446533s
Processing frame: 26000
Elapsed time: 1323.1134722232819s
Processing frame: 28000
Elapsed time: 1428.3750746250153s
Processing frame: 30000
Elapsed time: 1531.578678369522s
Processing frame: 32000
Elapsed time: 1636.5940158367157s
Processing frame: 34000
Elapsed time: 1739.1155734062195s
Processing frame: 36000
Elapsed time: 1842.2257678508759s
Processing frame: 38000
Elapsed time: 1943.3378641605377s
Processing frame: 40000
Elapsed time: 2041.613489151001s
Processing frame: 42000
Elapsed time: 2143.5797424316406s
Processing frame: 44000
Elapsed time: 2235.02770113945s
Processing frame: 46000
Elapsed time: 2329.3375306129456s
Processing frame: 48000
Elapsed time: 2431.833493947983s
Processing frame: 50000
Elapsed time: 2531.9773874282837s
Processing frame: 52000
Elapsed time: 2626.7937202453613s
Processing frame: 54000
Elapsed time: 2726.3339545726776s
Processing frame: 56000
Elapsed time: 2821.339376449585s
Processing frame: 58000
Elapsed time: 2922.1507229804993s
Processing frame: 60000
Elapsed time: 3010.912588596344s
Processing frame: 62000
Elapsed time: 3104.64101934433s
Processing frame: 64000
Elapsed time: 3192.8692605495453s
Processing frame: 66000
Elapsed time: 3284.8919682502747s
Processing frame: 68000
Elapsed time: 3385.938509941101s
Processing frame: 70000
Elapsed time: 3485.5425493717194s
Processing frame: 72000
Elapsed time: 3581.6048035621643s
Processing frame: 74000
Elapsed time: 3677.294915676117s
Processing frame: 76000
Elapsed time: 3781.0011382102966s
Processing frame: 78000
Elapsed time: 3878.602032184601s
Processing frame: 80000
Elapsed time: 3971.873663187027s
Processing frame: 82000
Elapsed time: 4071.030344724655s
Processing frame: 84000
Elapsed time: 4169.592128753662s
Processing frame: 86000
Elapsed time: 4274.557528734207s
Processing frame: 88000
Elapsed time: 4370.776235103607s
