Time,Occupancy
103.82515686780128,1
259.5628921695032,1
415.30062747120513,0
571.038362772907,1
726.776098074609,1
882.5138333763109,0
1038.2515686780127,0
1193.9893039797148,0
1349.7270392814166,0
1505.4647745831185,2
1661.2025098848205,3
1816.9402451865224,2
1972.6779804882242,1
2128.4157157899263,1
2284.153451091628,1
2439.89118639333,2
2595.628921695032,1
2751.366656996734,1
2907.104392298436,1
3062.8421276001377,0
3218.5798629018395,1
3374.3175982035414,1
3530.0553335052437,1
3685.7930688069455,0
3841.5308041086473,1
3997.268539410349,0
4153.006274712051,1
4308.744010013753,1
4464.481745315455,1
4620.2194806171565,1
4775.957215918859,1
4931.694951220561,1
5087.432686522263,2
5243.170421823965,1
5398.908157125667,1
5554.645892427368,3
5710.38362772907,4
5866.121363030772,4
6021.859098332474,3
6177.596833634176,3
6333.334568935878,3
6489.07230423758,3
6644.810039539282,3
6800.547774840984,3
6956.285510142686,3
7112.023245444388,3
7267.760980746089,3
7423.498716047791,3
7579.236451349493,3
7734.974186651195,3
7890.711921952897,3
8046.4496572545995,3
8202.187392556301,3
8357.925127858003,3
8513.662863159705,3
8669.400598461407,3
8825.138333763109,3
8980.87606906481,3
9136.613804366512,3
9292.351539668214,3
9448.089274969916,3
9603.827010271618,3
9759.56474557332,3
9915.302480875022,4
10071.040216176723,3
10226.777951478425,3
10382.515686780129,3
10538.25342208183,3
10693.991157383532,3
10849.728892685234,3
11005.466627986936,4
11161.204363288638,3
11316.94209859034,3
11472.679833892042,3
11628.417569193743,3
11784.155304495445,3
11939.893039797147,3
12095.630775098849,3
12251.36851040055,3
12407.106245702253,3
12562.843981003954,3
12718.581716305656,3
12874.319451607358,3
13030.05718690906,3
13185.794922210762,3
13341.532657512464,3
13497.270392814165,3
13653.00812811587,3
13808.745863417571,3
13964.483598719273,3
14120.221334020975,3
14275.959069322676,3
14431.696804624378,3
14587.43453992608,3
14743.172275227782,3
14898.910010529484,3
15054.647745831186,3
15210.385481132887,3
15366.12321643459,3
15521.860951736291,3
15677.598687037993,3
15833.336422339695,3
15989.074157641397,3
16144.811892943098,3
16300.5496282448,3
16456.287363546504,3
16612.025098848204,3
16767.762834149908,3
16923.500569451608,3
17079.23830475331,3
17234.97604005501,3
17390.713775356715,3
17546.451510658415,3
17702.18924596012,3
17857.92698126182,3
18013.664716563522,3
18169.402451865222,3
18325.140187166926,3
